Account,Campaign,Campaign Type,Campaign Daily Budget,Campaign Status,Bid Strategy Type,Location,Language,Networks,Ad Group,Max CPC,Keyword,Criterion Type,Ad Type,Final URL,Path 1,Path 2,Ad Status,Headline 1,Headline 1 position,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Sitelink text,Sitelink description line 1,Sitelink description line 2,Sitelink final URL,Callout text
SofortPDF (207-772-4388),SF_BRAND,Search,3,Enabled,Maximize clicks,Germany;Austria;Switzerland,German,Google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SofortPDF (207-772-4388),SF_SEARCH_HIGH,Search,40,Enabled,Maximize clicks,Germany;Austria;Switzerland,German,Google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SofortPDF (207-772-4388),SF_SEARCH_MID,Search,13,Enabled,Maximize clicks,Germany;Austria;Switzerland,German,Google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SofortPDF (207-772-4388),SF_SEARCH_COMP,Search,7,Paused,Maximize clicks,Germany;Austria;Switzerland,German,Google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SofortPDF (207-772-4388),SF_BRAND,,,,,,,,Brand Terms,,,,Responsive search ad,https://sofortpdf.com/de,de,,Enabled,sofortpdf.com — Offizielle Seite,1,Alle PDF-Tools an einem Ort,"Jetzt für nur 0,69 € testen",PDF zusammenfügen & mehr,DSGVO-konform · EU-Server,Ohne Installation · Sofort los,19 PDF-Tools · Ein Preis,Professionelle PDF-Bearbeitung,256-Bit SSL-Verschlüsselung,Automatische Datei-Löschung,sofortpdf — Schnell & Sicher,PDF-Tools direkt im Browser,Jederzeit kündbar,PDF bearbeiten in Sekunden,Sicher · Schnell · Einfach,"PDF zusammenfügen, komprimieren, konvertieren und unterschreiben — alles online, ohne Software. Server in der EU. DSGVO-konform. Jetzt testen.","19 professionelle PDF-Tools: zusammenfügen, komprimieren, konvertieren. Sicher, schnell und direkt im Browser. Ab 0,69 €.",Ihre Daten bleiben in Europa. 256-Bit SSL. Automatische Löschung nach Verarbeitung. Sofort loslegen.,"PDF zu Word, Word zu PDF, JPG zu PDF und mehr. Keine Installation. Professionelle Ergebnisse in Sekunden.",,,,,
SofortPDF (207-772-4388),SF_SEARCH_HIGH,,,,,,,,PDF zu Word,,,,Responsive search ad,https://sofortpdf.com/de/pdf-zu-word,de,pdf-zu-word,Enabled,PDF zu Word — Sofort online,1,PDF in Word umwandeln,"Jetzt für nur 0,69 € testen",DSGVO-konform · EU-Server,PDF zu Word in Sekunden,256-Bit SSL · Sicher & schnell,Professionelle Konvertierung,Keine Software nötig,PDF zu DOCX im Browser,Automatische Datei-Löschung,Alle PDF-Tools an einem Ort,19 Tools · Ein Preis,Jederzeit kündbar,Ohne Installation · Sofort los,Layout bleibt erhalten,"PDF zu Word konvertieren — schnell, sicher und ohne Software. DSGVO-konform, Server in der EU. Automatische Löschung. Jetzt für nur 0,69 € testen.",Professionelle PDF-zu-Word-Konvertierung direkt im Browser. Layout bleibt erhalten. 19 weitere PDF-Tools inklusive. Sofort loslegen.,Ihre Daten bleiben in Europa. 256-Bit Verschlüsselung. Keine Installation. PDF zu Word in wenigen Sekunden erledigt.,"Warum kompliziert? PDF zu Word online — einfach Datei hochladen, konvertieren, herunterladen. Sicher und DSGVO-konform.",,,,,
SofortPDF (207-772-4388),SF_SEARCH_HIGH,,,,,,,,PDF zusammenfuegen,,,,Responsive search ad,https://sofortpdf.com/de/pdf-zusammenfuegen,de,zusammenfuegen,Enabled,PDF zusammenfügen — Sofort,1,PDFs verbinden · Online,"Jetzt für nur 0,69 € testen",DSGVO-konform · EU-Server,PDFs in Sekunden verbinden,256-Bit SSL · Sicher & schnell,Professionelle Ergebnisse,Keine Software nötig,Drag & Drop · Sofort fertig,Automatische Datei-Löschung,Alle PDF-Tools an einem Ort,19 Tools · Ein Preis,Jederzeit kündbar,Ohne Installation · Sofort los,Reihenfolge frei wählen,"PDF-Dateien zusammenfügen — schnell, sicher und ohne Software. DSGVO-konform, Server in der EU. Automatische Löschung. Jetzt für nur 0,69 € testen.",Mehrere PDFs zusammenfügen direkt im Browser. Reihenfolge frei wählen. Drag & Drop. 19 weitere PDF-Tools inklusive.,Ihre Daten bleiben in Europa. 256-Bit Verschlüsselung. Keine Installation. PDFs in wenigen Sekunden zusammengefügt.,"Warum kompliziert? PDFs zusammenfügen online — Dateien hochladen, sortieren, verbinden. Sicher und DSGVO-konform.",,,,,
SofortPDF (207-772-4388),SF_SEARCH_HIGH,,,,,,,,PDF komprimieren,,,,Responsive search ad,https://sofortpdf.com/de/pdf-komprimieren,de,komprimieren,Enabled,PDF komprimieren — Sofort,1,PDF verkleinern · Online,"Jetzt für nur 0,69 € testen",DSGVO-konform · EU-Server,PDF-Größe sofort reduzieren,256-Bit SSL · Sicher & schnell,Qualität bleibt erhalten,Keine Software nötig,Perfekt für E-Mail-Versand,Automatische Datei-Löschung,Alle PDF-Tools an einem Ort,19 Tools · Ein Preis,Jederzeit kündbar,Ohne Installation · Sofort los,Bis zu 90% kleiner,"PDF komprimieren — schnell, sicher und ohne Software. DSGVO-konform, Server in der EU. Automatische Löschung. Jetzt für nur 0,69 € testen.",PDF-Dateien verkleinern direkt im Browser. Qualität bleibt erhalten. Perfekt für E-Mail. 19 weitere PDF-Tools inklusive.,Ihre Daten bleiben in Europa. 256-Bit Verschlüsselung. Keine Installation. PDF in wenigen Sekunden komprimiert.,"Warum kompliziert? PDF verkleinern online — Datei hochladen, komprimieren, herunterladen. Sicher und DSGVO-konform.",,,,,
SofortPDF (207-772-4388),SF_SEARCH_MID,,,,,,,,Online PDF Tools,,,,Responsive search ad,https://sofortpdf.com/de,de,pdf-tools,Enabled,PDF online bearbeiten,1,19 PDF-Tools · Ein Preis,"Jetzt für nur 0,69 € testen",DSGVO-konform · EU-Server,PDF-Editor direkt im Browser,256-Bit SSL · Sicher,Ohne Software · Sofort los,Keine Installation nötig,Professionelle PDF-Bearbeitung,Automatische Datei-Löschung,Komprimieren · Konvertieren,Zusammenfügen · Trennen,Jederzeit kündbar,Server in Deutschland,Schnell · Sicher · Einfach,"PDF online bearbeiten — 19 professionelle Tools zum Zusammenfügen, Komprimieren, Konvertieren. DSGVO-konform, EU-Server. Ab 0,69 €.","Alle PDF-Tools an einem Ort. Ohne Installation, direkt im Browser. Sicher, schnell und DSGVO-konform. Jetzt testen.",Ihre Daten bleiben in Europa. 256-Bit SSL. Automatische Löschung. Professionelle PDF-Bearbeitung ohne Software.,"PDF bearbeiten ohne Software — zusammenfügen, komprimieren, konvertieren und mehr. Server in der EU. Sofort loslegen.",,,,,
SofortPDF (207-772-4388),SF_SEARCH_MID,,,,,,,,PDF zu JPG,,,,Responsive search ad,https://sofortpdf.com/de/pdf-zu-jpg,de,pdf-zu-jpg,Enabled,PDF zu JPG — Sofort online,1,PDF in Bilder umwandeln,"Jetzt für nur 0,69 € testen",DSGVO-konform · EU-Server,PDF zu JPG in Sekunden,256-Bit SSL · Sicher & schnell,Hohe Bildqualität garantiert,Keine Software nötig,PDF zu PNG auch möglich,Automatische Datei-Löschung,Alle PDF-Tools an einem Ort,19 Tools · Ein Preis,Jederzeit kündbar,Ohne Installation · Sofort los,Jede Seite als Bild speichern,"PDF zu JPG konvertieren — schnell, sicher und ohne Software. DSGVO-konform, Server in der EU. Automatische Löschung. Jetzt für nur 0,69 € testen.",PDF-Seiten als hochwertige JPG-Bilder speichern. Direkt im Browser. 19 weitere PDF-Tools inklusive. Sofort loslegen.,Ihre Daten bleiben in Europa. 256-Bit Verschlüsselung. Keine Installation. PDF zu JPG in wenigen Sekunden erledigt.,"Warum kompliziert? PDF zu JPG online — Datei hochladen, konvertieren, herunterladen. Sicher und DSGVO-konform.",,,,,
